Party,Vote Share
BJP,"1,65,24,787"
INC,"1,56,67,947"
BSP,"7,21,037"
CPI,"3,82,378"
RLTP,"9,46,203"
NOTA,"3,82,066"
OTHERS,"47,15,994"
