Party,Won,Leading,Total,Party
Zoram People’s Movement - ZPM,27,0,27,ZPM
Mizo National Front - MNF,10,0,10,MNF
Bharatiya Janata Party - BJP,2,0,2,BJP
Indian National Congress - INC,1,0,1,INC
