Sl No,Constituency,Leading Candidate
139,Gudha Malani,Krishan Kumar K.K Vishnoi (BJP)
140,Chohtan,Adu Ram Meghwal (BJP)
141,Ahore,Chhagan Singh Rajpurohit (BJP)
142,Jalore,Jogeshwar Garg (BJP)
143,Bhinmal,Samarjit Singh(INC)
144,Sanchore,Jivaram Choudhary (Independent)
145,Raniwara,Ratan Devasi (INC)
146,Sirohi,Ota Ram Dewasi (BJP)
147,Pindwara Abu,Samaram (BJP)
148,Reodar,Motiram (INC)
149,Gogunda,Pratap Lal Bheel (BJP)
150,Jhadol,Babulal Kharadi (BJP)
151,Kherwara,Dr. Dayaram Parmar (INC)
152,Udaipur Rural,Phool Singh Meena (BJP)
153,Udaipur,Tarachand Jain (BJP)
154,Mavli,Pushkar Lal Dangi (INC)
155,Vallabh Nagar,Udailal Dangi (BJP)
156,Salumber,Amritlal Meena (BJP)
157,Dhariawad,Thavar Chand (BADP)
158,Dungarpur,Ganesh Ghogra (INC)
159,Aspur,Umesh Meena (BADP)
160,Sagwara,Shankarlal Decha (BJP)
161,Chorasi,Rajkumar Roat (BADP)
162,Ghatol,Nanalal Ninama (INC)
163,Garhi,Kailash Chandra Meena (BJP)
164,Banswara,Arjun Singh Bamaniya (INC)
165,Bagidora,Mahendra Jeet Singh Malviya (INC)
166,Kushalgarh,Ramila Khadiya (INC)
167,Kapasan,Arjun Lal JIngar (BJP)
168,Begun,Suresh Dhakar (BJP)
169,Chittorgarh,Chandrabhan Singh Chauhan (Independent)
170,Nimbahera,Srichand Kripalani (BJP)
171,Bari Sadri,Gautam Kumar (BJP)
172,Pratapgarh,Hemant Meena (BJP)
173,Bhim,Harisingh Rawat (BJP)
174,Kumbhalgarh,Surendra Singh Rathore (BJP)
175,Rajsamand,Deepti Kiran Maheshwari (BJP)
176,Nathdwara,Vishwaraj Singh Mewar (BJP)
177,Asind,Jhabbar Singh Sankhla (BJP)
178,Mandal,Udayalal Bhadana (BJP)
