Party,Vote Share
BJP,"72,34,968"
INC,"66,02,586"
BSP,"3,19,903"
CPI,"60,901"
AAAP,"1,44,710"
JCCJ,"1,92,406"
NOTA,"1,97,678"
OTHERS,"8,67,063"
