S. No.,Constituency,Winning candidate,Party
137,Hoshangabad,Sitasaran Sharma,BJP
138,Sohagpur,Vijaypal Singh,BJP
139,Pipariya ,Thakurdas Nagwanshi,BJP
140,Udaipura,Narendra Shivaji Patel,BJP
141,Bhojpur,Surendra Patwa,BJP
142,Sanchi ,Prabhuram Chaudhary,BJP
143,Silwani,Devendra Patel,INC
144,Vidisha,Mukesh Tandan,BJP
145,Basoda,Harisingh Raghuvanshi,BJP
146,Kurwai ,Hari Singh Sapre,BJP
147,Sironj,Umakant Sharma,BJP
148,Shamshabad,Surya Prakash Meena,BJP
149,Berasia ,Vishnu Khatri,BJP
150,Bhopal Uttar,Arif Aqeel,INC
151,Narela,Vishvas Sarang,BJP
152,Bhopal Dakshin-Paschim,Bhagwan Das Sabnani,BJP
153,Bhopal Madhya,Arif Masood,INC
154,Govindpura,Krishna Gaur,BJP
155,Huzur,Rameshwar Sharma,BJP
156,Budhni,Shivraj Singh Chauhan,BJP
157,Ashta ,Gopal Singh Engineer,BJP
158,Ichhawar,Karan Singh Verma,BJP
159,Sehore,Sudesh Rai,BJP
160,Narsinghgarh,Mohan Sharma,BJP
161,Biaora,Narayan Singh Pawar,BJP
162,Rajgarh,Amar Singh Yadav,BJP
163,Khilchipur,Hajari Lal Dangi,BJP
164,Sarangpur ,Gotam Tetwal,BJP
165,Susner,Bheru Singh Bapu,INC
166,Agar ,Madhav Singh Gehlot,BJP
167,Shajapur,Arun Bhimawat,BJP
168,Shujalpur,Inder Singh Parmar,BJP
169,Kalapipal,Ghanshyam Chandravansi,BJP
170,Sonkatch ,Rajesh Sonkar,BJP
171,Dewas,Gayatriraje Panwar,BJP
172,Hatpipliya,Manoj Chaudhary,BJP
173,Khategaon,Ashish Govind Sharma,BJP
174,Bagli ,Murli Bhawara,BJP
175,Mandhata,Narayan Patel,BJP
176,Harsud ,Kunwar Vijay Shah,BJP
177,Khandwa ,Kanchan Mukesh Tanve,BJP
178,Pandhana ,Chaya More,BJP
179,Nepanagar ,Manju Rajendra Dadu,BJP
180,Burhanpur,Archana Chitnis,BJP
181,Bhikangaon ,Jhuma Solanki,INC
182,Barwah,Sachin Birla,BJP
183,Maheshwar ,Rajkumar Mev,BJP
184,Kasrawad,Sachin Yadav,INC
185,Khargone,Balkrishna Patidar,BJP
186,Bhagwanpura ,Kedar Dawar,INC
187,Sendhawa ,Montu Solanki,INC
188,Rajpur,Bala Bachchan,INC
189,Pansemal ,Shyam Barde,BJP
190,Barwani ,Rajan Mandloi,INC
191,Alirajpur ,Chouhan Nagar Singh,BJP
192,Jobat ,Sena Patel,INC
193,Jhabua ,Vikrant Bhuria,INC
194,Thandla ,Veer Singh Bhuria,INC
195,Petlawad ,Nirmala Dileepsingh Bhuria,BJP
196,Sardarpur ,Pratap Grewal,INC
197,Gandhwani ,Umang Singar,INC
198,Kukshi ,Baghel Surendra Singh Honey,INC
199,Manawar ,Hiralal Alawa,INC
200,Dharampuri ,Kalu Singh Thakur,BJP
201,Dhar,Neena Vikram Verma,BJP
202,Badnawar,Bhanwarsingh Shekhawat,INC
203,Depalpur,Manoj Patel,BJP
204,Indore-1,Kailash Vijayvargiya,BJP
205,Indore-2,Ramesh Mendola,BJP
206,Indore-3,Rakesh Golu Shukla,BJP
207,Indore-4,Malini Laxman Singh Gaur,BJP
208,Indore-5,Mahendra Hardiya,BJP
209,Dr. Ambedkar Nagar-Mhow,Usha Thakur,BJP
210,Rau,Madhu Verma,BJP
211,Sanwer ,Tulsiram Silavat,BJP
212,Nagda-Khachrod,Tejbahadur Singh,BJP
213,Mahidpur,Dinesh Jain Boss,INC
214,Tarana ,Mahesh Parmar,INC
215,Ghatiya ,Satish Malviya,BJP
216,Ujjain North,Anil Kaluheda,BJP
217,Ujjain South,Mohan Yadav,BJP
218,Badnagar,Jitendra Uday Singh Pandya,BJP
219,Ratlam Rural,Mathuralal Dawar,BJP
220,Ratlam City,Chetanya Kashyap,BJP
221,Sailana,Kamleshwar Dodiyar,BADP
222,Jaora,Rajendra Pandey,BJP
223,Alot,Chintamani Malviya,BJP
224,Mandsour,Vipin Jain,INC
225,Malhargarh ,Jagdish Deora,BJP
226,Suwasra,Hardeep Singh Dang,BJP
227,Garoth,Chandersingh Sisodia,BJP
228,Manasa,Aniruddha Maru,BJP
229,Neemuch,Dilip Singh Parihar,BJP
230,Jawad,Omprakash Sakhlecha,BJP
