Party,Won,Leading,Total,Party
Bharatiya Janata Party - BJP,115,0,115,BJP
Indian National Congress - INC,69,0,69,INC
Bharat Adivasi Party - BHRTADVSIP,3,0,3,BHRTADVSIP
Bahujan Samaj Party - BSP,2,0,2,BSP
Rashtriya Lok Dal - RLD,1,0,1,RLD
Rashtriya Loktantrik Party - RLTP,1,0,1,RLTP
Independent - IND,8,0,8,IND
