Party,Won,Leading,Total,Party
Bharatiya Janata Party - BJP,163,0,163,BJP
Indian National Congress - INC,66,0,66,INC
Bharat Adivasi Party - BHRTADVSIP,1,0,1,BHRTADVSIP
